Cleantext,Target
considering the baseline parameters there were not statistically signicant differences between the two groups,0
published by oxford university press on behalf of the british society for antimicrobial chemotherapy,0
however this postpartum clearance was signicantly lower than the antepartum clearance observed in the same subjects even if normalized to body weight  mlmin   or mlminkg,1
fig ,0
plasma specimens were collected immediately after the section and  h following the drug application,0
accordingly our simulations may show more spread in concentrations than actually exists,0
sot  ,0
we determined the presence of the following chronic comorbidities using the ramqmedecho databases and the use of specific medications the diagnosis of chronic hypertension in the year before and during pregnancy icd codes      or of gestational hypertension defined as a diagnosis made at z weeks of pregnancy with icd codes   or use of antihypertensive drugs ahfs  the diagnosis of diabetes in the year before or during pregnancy icd    or gestational diabetes diagnosed at z weeks of pregnancy icd   or the dispensing of medications for diabetes in the  months before and during pregnancy including insulin and oral hypoglycemic agents ahfs    the diagnosis of depression in the year before or during pregnancy icd x    or the use of antidepressants in the year before pregnancy,0
lancet ,0
this technique is the classical one used in population modeling it consists of repeatedly fitting the model to  bootstrap sets of the data by random resampling with replacement,0
the infants enrolled in the limited sampling concentrations in postfeed compared with prefeed milk,0
this observation and the pregnancyrelated pharmacokinetic data suggest that table ,0
the institutional review boards of the kenya medical research institute nairobi kenya the centers for disease control and prevention atlanta georgia and the academic medical centre of the university of amsterdam amsterdam the netherlands approved the study protocol,0
it is concluded that all studied quinolones penetrate the placenta and are found in amniotic fluid at low concentrations and at much higher levels in breast milk,1
population pharmacokinetic analysis,0
a multivariate linear regression model controlling for cypa genotype ega and concomitant administration of inhibitor was found to best predict nifedipine auc r   p   figure ,0
table ,0
the dose of  mg acyclovir  times daily was chosen because a previous phase i study on acyclovir use in pregnancy had established a favorable pharmacokinetic profile with this regimen in addition the largest prospective randomized trial among women with recurrent genital hsv infection found a significant decrease in the frequency of symptomatic hsv recurrence at delivery and in the need for cesarean delivery for hsv with this dose because no previous data were available for valacyclovir use during pregnancy we chose to use the manufacturers recommended dosage of valacyclovir for treatment of recurrent genital herpes in nonpregnant adults  mg twice daily,1
in conclusion obese women administered either a g or g dose of cefazolin appear to achieve appropriate maternal adipose tissue levels above the mic of causative organisms of ssis,1
